listing_id,title,neighborhood,bedrooms,bathrooms,size_sqft,property_type,annual_rent,amenities,furnished,agent_name,posting_date,has_metro,beach_accessible
13143126,Vacant I with Laundry Room I Well Maintained,Dubai Marina,1,2,864,1BR,84000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
12932159,Specious 1BR | Chiller Free| Middle Floor | Vacant,Dubai Marina,1,1,887,1BR,100000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
6201613,UNFURNISHED | CHILLER FREE | KITCHEN APPLICIANCES INCLUDED | NEAR METRO,Dubai Marina,1,2,736,1BR,99999,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
13096745,Unfurnished | Bright | Ready to Move In,Dubai Marina,1,2,719,1BR,80000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
7491095,FULLY FURNISHED | ALL BILLS INCLUDED | NEAR TO METRO AND MARINA WALK,Dubai Marina,1,2,722,1BR,124999,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
13240910,Stylish 1‑Bedroom | Beachside Retreat Bahar,Jumeirah Beach Residence JBR,1,2,755,1BR,90000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
13129787,Summer Offer | Best View | Fully Upgraded 1BHK,Jumeirah Beach Residence JBR,1,2,722,1BR,165000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
12815124,FULLY FURNISHED 1 BR | EASY BEACH ACCESS,Jumeirah Beach Residence JBR,1,2,610,1BR,167000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
12833289,Fully Furnished | Marina View | 5 Min to Beach,Jumeirah Beach Residence JBR,1,2,848,1BR,160000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
13396730,Vacant | Bills included | Serviced,Jumeirah Beach Residence JBR,1,2,833,1BR,180000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
13273671,Furnished 1 BR | Upgraded Unit | Resort Living,Jumeirah Beach Residence JBR,1,1,845,1BR,210000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
12797599,Sea View | High Floor| Luxury Furnished| Vacant,Downtown Dubai,1,2,877,1BR,260000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
13272809,Burj Khalifa Area View | Luxurious | Prime Location,Downtown Dubai,1,2,1083,1BR,155000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
13437335,Full Burj View-Umbeatable Price-Fully Furnished,Downtown Dubai,2,2,1233,2BR,299000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
13304146,Luxury 2BR | High Floor | Lake View | Boulevard Crescent Tower 1,Downtown Dubai,2,2,1233,2BR,220000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
13395026,"Downtown Living, 2 Minutes From Dubai Mall",Downtown Dubai,2,3,1516,2BR,190000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
13429494,Huge Layout / Canal View / Fully furnished,Business Bay,2,2,815,2BR,99900,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
13138414,DAMAC Maison Studio | High Floor | Burj View,Business Bay,2,2,1216,Studio,70000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
13371838,Exclusive | Upgraded Flooring | High Floor,Business Bay,2,2,1249,2BR,340000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
13390078,Upgraded | Amazing Views | Vacant,Business Bay,2,3,1383,2BR,165000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
13341426,NEW BUILDING | PRIME LOCATION | READY TO MOVE,Business Bay,2,2,1258,2BR,110000,,Unfurnished,Find my Agent,2025-11-23,Unknown,Unknown
